Recency,Monetary,Frequency
325,77183.6,1
39,4310.0,7
75,1797.24,4
18,1757.55,1
310,334.4,1
72,2506.04,8
204,89.0,1
232,1079.4,1
95,459.4,1
22,2811.43,3
181,6207.67,1
2,1168.06,2
8,6372.58,4
52,2662.06,3
287,189.9,1
29,5226.23,10
35,552.0,2
40,1313.1,4
291,641.38,2
211,168.9,1
51,3545.69,4
29,1887.96,2
34,1298.04,3
341,364.6,1
25,742.9300000000001,1
10,457.5,2
315,1628.12,2
304,4008.62,1
81,852.24,2
21,2724.81,4
-1,1845.31,5
8,1850.56,5
28,585.27,2
191,401.9,2
15,2780.66,6
79,549.84,1
21,460.89,1
38,1582.6000000000001,4
152,1272.48,2
4,3018.63,12
135,2409.9,2
45,1635.6599999999999,1
1,1108.65,4
98,84.3,1
323,225.6,1
49,427.7,1
148,1710.39,1
22,3415.3,2
49,1708.1200000000001,5
151,2888.55,5
64,11072.67,3
251,693.3299999999999,2
74,1226.88,3
191,758.1,3
187,562.41,3
24,124914.53,21
39,3649.1,9
112,668.58,1
152,600.39,1
15,807.04,4
168,803.5600000000001,3
88,1859.31,8
162,1760.96,2
78,777.2,1
194,582.73,1
21,825.8,3
25,7956.46,9
9,3750.4,4
43,256.4,1
1,6487.45,15
42,5059.32,5
9,13375.87,7
84,806.14,2
79,7829.89,2
334,509.01,1
8,4951.41,18
14,2906.85,2
484,173.55,1
180,172.06,1
-1,5005.46,5
22,133.4,1
57,1002.3100000000001,1
66,476.49,1
44,449.45,1
22,4067.29,4
173,197.88,2
10,9035.52,5
16,430.57,2
134,707.09,1
56,3528.34,1
73,2466.86,6
44,3181.04,3
81,2363.23,7
71,947.4,2
124,826.88,2
18,1189.59,2
5,1344.78,4
10,1212.05,8
17,742.1899999999999,2
217,729.5400000000001,2
10,19824.05,30
51,6572.11,7
53,3938.5499999999997,5
2,7375.79,18
53,723.38,1
15,6816.42,11
22,13219.74,6
180,680.99,1
11,527.2,1
28,3281.63,4
22,5596.32,10
17,2484.98,8
100,4541.72,6
9,1298.66,3
161,334.93,1
17,5417.93,10
332,460.40000000000003,1
105,263.21000000000004,2
165,433.74,2
15,1246.1000000000001,7
81,1043.1,1
21,403.70000000000005,3
23,4257.82,11
161,2169.39,1
187,3723.87,5
18,482.04999999999995,2
232,73.5,1
134,1304.81,3
26,398.27,2
284,176.5,1
142,982.5699999999999,2
243,138.03,2
112,612.29,1
267,1017.68,1
353,383.7,1
3,1312.06,2
28,2502.84,5
-1,2056.89,5
152,340.84,1
36,2634.26,5
142,599.68,1
39,192.72,2
8,1789.77,11
9,4485.72,8
53,1316.66,3
81,348.71000000000004,3
9,1933.48,6
29,1662.28,4
14,125.22,1
89,349.83000000000004,1
335,1089.18,1
91,716.35,2
29,12601.830000000002,3
59,363.95,1
22,5568.35,4
19,13400.24,17
59,981.18,3
273,372.7,1
75,1000.39,2
46,1161.5,2
197,207.79999999999998,2
166,95.19999999999999,1
79,964.83,1
357,168.0,1
39,437.82,2
-1,3692.28,10
32,603.71,2
16,11990.960000000001,5
300,269.96,1
310,561.71,2
112,2134.01,3
68,238.85,1
22,3781.7400000000002,7
261,456.9,1
288,145.92,1
86,351.65,1
22,9401.28,10
-1,4124.69,32
39,519.61,2
51,1020.42,2
227,160.54000000000002,1
315,218.45,1
129,1315.83,5
242,657.8,3
21,2794.51,2
78,440.42,1
158,415.7,1
39,197.71,1
238,511.36,2
-1,7281.38,15
17,2338.15,9
234,2040.1,2
17,196.94000000000003,1
300,144.0,1
39,214.89999999999998,1
28,646.68,2
4,9864.26,2
317,452.84999999999997,1
65,437.6,2
108,418.09999999999997,3
46,3338.2200000000003,10
35,618.27,2
19,3811.22,4
9,3023.08,8
32,1032.58,7
28,2599.04,10
38,577.0600000000001,5
-1,153.12,1
21,739.1999999999999,1
79,254.18,2
60,1579.51,1
78,1126.85,3
22,2099.54,5
52,1193.32,1
74,704.0400000000001,1
57,3344.38,5
159,315.6,1
71,2291.19,4
214,713.3,2
59,355.53,1
21,177.31,1
16,3641.24,9
14,1339.41,3
4,13689.67,20
232,180.1,1
128,305.1,1
106,641.13,2
4,2683.82,2
23,6620.48,9
10,4478.53,7
181,786.46,3
9,1270.88,2
57,640.5,1
-1,2163.98,4
30,1689.18,2
91,6021.9,8
181,671.69,1
238,486.1,1
23,1174.58,3
115,185.9,1
25,1013.26,3
38,3344.64,6
304,477.91,1
109,1775.18,4
49,1346.97,2
22,3722.82,12
124,318.05,1
34,623.51,3
180,314.44,1
99,114.0,1
8,919.98,1
148,2209.85,2
10,601.98,5
17,4051.17,5
11,1643.18,4
18,686.05,1
59,91.68,1
11,245.1,1
23,3849.78,11
-1,4881.88,9
324,63.0,1
-1,620.13,1
11,3807.15,4
2,2744.0299999999997,3
10,2996.05,5
329,225.89999999999998,1
241,610.52,2
91,1970.6,4
24,1331.39,6
42,17628.46,12
-1,1113.02,4
30,862.81,4
14,13787.54,22
1,12288.22,31
4,8476.57,15
24,2283.63,7
28,2863.08,6
637,89.14,1
113,4873.8099999999995,1
25,1247.61,2
205,389.01,1
-1,1035.8,6
4,855.91,4
70,869.67,2
107,582.1,4
28,957.59,3
126,4939.99,4
35,797.71,2
19,219.0,1
71,283.55,1
22,2340.84,8
15,6868.29,9
291,603.42,1
59,2712.91,10
-1,9736.52,15
201,1149.02,3
8,4396.13,13
88,848.55,1
9,4708.86,5
106,353.86,1
133,1053.49,2
32,1030.98,2
71,238.25,1
213,644.95,2
2,5781.73,25
79,2656.13,6
2,997.63,4
16,725.07,5
38,1031.41,4
637,427.8,1
28,2609.1,7
10,3980.7,7
38,836.33,4
113,453.01,1
23,18895.91,12
179,236.26000000000002,1
234,383.95,1
352,110.39999999999999,1
