CustomerID,R,F,M
12346.0,1,1,4
12347.0,3,4,4
12348.0,2,3,4
12349.0,4,1,4
12350.0,1,1,2
12352.0,2,4,4
12353.0,1,1,1
12354.0,1,1,3
12355.0,2,1,2
12356.0,3,3,4
12357.0,1,1,4
12358.0,4,2,3
12359.0,4,3,4
12360.0,3,3,4
12361.0,1,1,1
12362.0,3,4,4
12363.0,3,2,2
12364.0,3,3,3
12365.0,1,2,2
12367.0,1,1,1
12370.0,3,3,4
12371.0,3,2,4
12372.0,3,3,3
12373.0,1,1,2
12374.0,3,1,3
12375.0,4,2,2
12377.0,1,2,3
12378.0,1,1,4
12379.0,2,2,3
12380.0,4,3,4
12381.0,4,3,4
12383.0,4,3,4
12384.0,3,2,2
12386.0,1,2,2
12388.0,4,4,4
12390.0,2,1,2
12391.0,4,1,2
12393.0,3,3,3
12394.0,2,2,3
12395.0,4,4,4
12397.0,2,2,4
12398.0,3,1,3
12399.0,4,3,3
12401.0,2,1,1
12402.0,1,1,1
12403.0,3,1,2
12405.0,2,1,4
12406.0,3,2,4
12407.0,3,3,4
12408.0,2,3,4
12409.0,2,3,4
12410.0,1,2,3
12412.0,2,3,3
12413.0,1,3,3
12414.0,1,3,2
12415.0,3,4,4
12417.0,3,4,4
12418.0,2,1,2
12420.0,2,1,2
12421.0,4,3,3
12422.0,1,3,3
12423.0,2,4,4
12424.0,1,2,4
12425.0,2,1,3
12426.0,1,1,2
12427.0,4,3,3
12428.0,3,4,4
12429.0,4,3,4
12430.0,3,1,1
12431.0,4,4,4
12432.0,3,3,4
12433.0,4,4,4
12434.0,2,2,3
12435.0,2,2,4
12436.0,1,1,2
12437.0,4,4,4
12438.0,4,2,4
12441.0,1,1,1
12442.0,1,1,1
12444.0,4,3,4
12445.0,3,1,1
12446.0,3,1,3
12447.0,2,1,2
12448.0,3,1,2
12449.0,3,3,4
12450.0,1,2,1
12451.0,4,3,4
12452.0,4,2,2
12453.0,2,1,3
12454.0,3,1,4
12455.0,2,4,4
12456.0,3,3,4
12457.0,2,4,4
12458.0,2,2,3
12461.0,2,2,3
12462.0,4,2,3
12463.0,4,3,3
12464.0,4,4,3
12465.0,4,2,3
12468.0,1,2,3
12471.0,4,4,4
12472.0,3,4,4
12473.0,3,3,4
12474.0,4,4,4
12475.0,3,1,3
12476.0,4,4,4
12477.0,3,4,4
12478.0,1,1,3
12479.0,4,1,2
12480.0,3,3,4
12481.0,3,4,4
12483.0,4,4,4
12484.0,2,4,4
12488.0,4,3,3
12489.0,1,1,2
12490.0,4,4,4
12491.0,1,1,2
12492.0,2,2,1
12493.0,1,2,2
12494.0,4,4,3
12497.0,2,1,3
12498.0,4,3,2
12500.0,3,4,4
12501.0,1,1,4
12502.0,1,3,4
12504.0,4,2,2
12506.0,1,1,1
12507.0,2,3,3
12508.0,3,2,2
12509.0,1,1,1
12510.0,2,2,3
12512.0,1,2,1
12513.0,2,1,2
12514.0,1,1,3
12515.0,1,1,2
12516.0,4,2,3
12517.0,3,3,4
12518.0,4,3,4
12519.0,2,1,2
12520.0,3,3,4
12521.0,2,1,2
12522.0,3,2,1
12523.0,4,4,4
12524.0,4,4,4
12526.0,3,3,3
12527.0,2,3,2
12528.0,4,4,4
12530.0,3,3,4
12531.0,4,1,1
12532.0,2,1,2
12534.0,1,1,3
12535.0,2,2,3
12536.0,3,3,4
12538.0,3,1,2
12539.0,3,3,4
12540.0,4,4,4
12541.0,3,3,3
12544.0,1,1,2
12545.0,2,2,3
12546.0,3,2,3
12547.0,1,2,1
12548.0,1,1,1
12550.0,2,1,3
12551.0,1,1,1
12552.0,3,2,2
12553.0,4,4,4
12556.0,3,2,2
12557.0,4,3,4
12558.0,1,1,1
12559.0,1,2,2
12560.0,2,3,4
12561.0,2,1,1
12562.0,3,4,4
12564.0,1,1,2
12565.0,1,1,1
12566.0,2,1,2
12567.0,3,4,4
12569.0,4,4,4
12571.0,3,2,2
12572.0,3,2,3
12573.0,1,1,1
12574.0,1,1,1
12576.0,2,3,3
12577.0,1,3,2
12578.0,4,2,4
12579.0,2,1,2
12580.0,2,1,2
12581.0,3,1,1
12582.0,1,2,2
12583.0,4,4,4
12584.0,4,4,4
12585.0,1,2,4
12586.0,4,1,1
12587.0,1,1,1
12588.0,3,1,1
12589.0,3,2,2
12590.0,4,2,4
12591.0,1,1,2
12592.0,2,2,2
12593.0,2,3,2
12594.0,3,4,4
12596.0,3,2,2
12597.0,4,3,4
12598.0,4,4,4
12599.0,3,4,3
12600.0,3,4,4
12601.0,3,3,2
12602.0,4,1,1
12603.0,4,1,3
12604.0,2,2,1
12607.0,3,1,3
12609.0,2,3,3
12610.0,3,3,4
12611.0,3,1,3
12612.0,2,1,3
12613.0,3,3,4
12614.0,2,1,2
12615.0,2,3,4
12616.0,1,2,3
12617.0,3,1,2
12618.0,4,1,1
12619.0,4,4,4
12620.0,4,3,3
12621.0,4,4,4
12622.0,1,1,1
12623.0,2,1,1
12624.0,2,2,2
12625.0,4,2,4
12626.0,3,4,4
12627.0,4,4,4
12628.0,1,3,3
12630.0,4,2,3
12631.0,3,1,2
12633.0,4,3,4
12635.0,3,2,4
12637.0,2,4,4
12638.0,1,1,2
12639.0,1,1,2
12640.0,3,3,3
12641.0,2,1,1
12642.0,3,3,3
12643.0,3,4,4
12644.0,1,1,2
12645.0,2,3,4
12646.0,3,2,3
12647.0,3,4,4
12648.0,2,1,2
12649.0,3,3,2
12650.0,1,1,2
12651.0,2,1,1
12652.0,4,1,3
12653.0,2,2,4
12654.0,4,3,2
12656.0,4,3,4
12657.0,4,3,3
12658.0,4,1,3
12659.0,3,1,1
12660.0,4,1,1
12662.0,3,4,4
12664.0,4,4,4
